id,created_at,updated_at,user_id,title,description,UG,MSc,ME4,experimental,computational,hidden
1,27-09-17 12:37,27-09-17 12:37,1,Wear performance analysis of shoulder prostheses,"As the third most common orthopaedic procedure in Britain, shoulder joint replacement is growing rapidly and the numbers of shoulder prostheses implanted increased dramatically as well. Wear is regarded as one of main contributors to the failure of shoulder implants. It is therefore important to measure the wear properties of the articulating surfaces within the joint. 
Investigation of wear characteristics through a comprehensive range of motion using a sophisticated shoulder simulator would reveal the durability of the material and the performance of component design. The preclinical test of wear would explain the components failures, find out a most appropriate component design, and minimise the risk of clinical complications. The principal tasks of the project are to screen the wear performance of novel Imperial design versus established commercial implants and determine the difference in wear performance of varying conditions.
The evaluation of the shoulder components is in vitro by using a bespoke shoulder simulator, which is capable of simulating physiological gleno-humeral forces and displacements during activities of daily lives. Appropriate wear testing protocol will be finalised to follow. The subsequent wear behavior of the components will be evaluated in macro and micro levels using gravimetric analysis (weight loss) & wear scar images and surface profile & roughness respectively.
",1,1,1,0,0,0
2,19-09-18 14:30,19-09-18 14:30,1,Testing artificial meniscus implants in sheep knees,"The medial and lateral menisci are semi-lunar tissues that separate the femoral condyles from the tibial plateau and are attached to the surrounding structures in the knee joint, primarily the tibial plateau. The meniscus plays a critical role in load transmission, shock absorption, stability and in reducing contact stresses in the knee joint.  Meniscus injury is the most frequent orthopaedic intervention with an annual reported incidence of 60â€“70 per 100,000 persons. With limited natural and surgical repair capabilities, a meniscectomy (complete removal of the meniscus) is commonly performed. This presents a high risk of osteoarthritis development in the knee joint, leading to a total knee replacement in the long term. Orthonika is currently developing a synthetic total meniscus replacement to alleviate patient symptoms and prevent or delay the onset of osteoarthritis. 

 
Title: Does a total meniscus replacement provide chondroprotection?
The aim of this project is to provide insight on the chondroprotective effect of the developed meniscus replacement and how it compares to that of the natural meniscus in the ovine cadaveric joint. Positive and negative tests, meaning with the natural healthy meniscus and without the natural meniscus (simulating a meniscectomy) respectively, will provide a benchmark for the developed implant. In-vitro testing will be performed on a custom rig designed to simulate ovine gait, enabling evaluation of implant fixation, implant integrity, and chondroprotection following cyclic loading.
 
",0,1,1,0,0,0
3,06-08-18 16:40,06-08-18 16:40,1,"D,M,T a new artificial patch for repairing localised damage to the surface of a human shoulder joint","Although there are existing products for total replacement of a damaged shoulder joint, this project aims at an earlier stage of the process, when the damage is still localised and follows a dislocation injury. The plan is to design, make and test a new method using an artificial patch fixed to the bone within the head of the humerus. The prototypes will be made by additive manufacturing in a rapid prototyping machine. The shape of the surface will have to match the natural shoulder, obtained from medical scans. In addition to getting a surgeon to implant the patch into plastic replica bones, it may then move on to testing in a dead knee. Aspects such as designing the patch, the instruments required by the surgeon, and then measuring the accuracy of restoring the surface geometry of the shoulder will arise as the work progresses.",1,1,1,0,0,0
4,25-09-18 12:12,25-09-18 12:12,2,Joining of aluminium for light weight automotive structures,Components are typically joined in aluminium automotive structures using a combination of riveting and adhesive bonding.  This project offers the opportunity to work alongside researchers investigating  joining technologies for rapidly formed aluminium components.  Parameters critical for the successful adhesive bonding and/or riveting of aluminium alloy parts processed in a high volume production environment will be investigated.  The project will suit someone interested in mechanical and surface characterisation.  ,1,1,1,1,0,0
5,25-09-18 11:56,25-09-18 11:56,2,Environmental stress cracking of polymers,"Under the influence of both an applied stress and an aggressive environment, engineering plastics can suffer from a phenomenon known as environmental stress cracking (ESC). This can cause premature failure of components in service with potentially severe cost and safety implications. Fracture mechanics is a powerful technique for describing failure in materials and recently a fracture mechanics based environmental stress cracking test has been developed in which a constant load is applied to a single edge notch bend (SENB) test specimen and the resulting crack initiation and crack velocity is measured as a function of applied load conditions.  This test method will be applied to a range of polymers and the conditions required to induce ESC failure in some high performance polymers will be investigated.  ",1,0,1,1,0,0
6,25-09-18 12:03,25-09-18 12:03,2,Analysis of Bonded Joints in a Motorsport Application,"Adhesive joints are commonly used throughout a race car to bond both metallic and composite assemblies. These parts may be safety critical; therefore, it is essential that the bonded joints have been designed, analysed, and signed-off prior to track running. The aim of this project is to characterise the static strength behaviour of two types of adhesive, both at ambient conditions and elevated temperature, via experimental testing and Finite Element Analysis (FEA) in order to allow Engineers to accurately predict bond failure. The successful applicant will have the opportunity to work on-site one day a week (at the McLaren Technology Centre in Woking) with the remainder of their time spent at Imperial, be able to work with some autonomy, and be prepared to tackle a challenge and use their initiative.",1,1,1,1,1,0
7,25-09-18 11:54,25-09-18 11:54,2,An investigation into wood-polymer composites for industrial applications,"Modern industries produce large quantities of waste material which, in the longer term, is unsustainable.  Examples of waste material include various types of wood which are used in large quantities in the packaging industry.   There are significant efforts being made to find secondary uses for such materials and one proposed use is that the wood products be shredded or milled into fine particles, and that these then be used as a reinforcement for polymer composites.  This project will utilize various wood flours produced from a number of packaging product ranges as the reinforcement in a particulate reinforced polymer composite.  The samples have been supplied by the Hengdeli Group.  
The project follows on from a project last year in which wood particles and fibres were incorporated into the thermosetting polymer, epoxy.  The particle size distributions were studied and wood-polymer composite plates were manufactured and tested for tensile properties and fracture toughness.  The project will firstly perform some additional characterisation of these materials for thermal and water absorption properties, comparing values with neat epoxy.  Additional composites will be manufactured with (a) specific wood fibre lengths incorporated into an epoxy matrix and (b) wood fibres/particles incorporated into a thermoplastic matrix via injection moulding.  The moulding will use Hengdeli wood fibre/particle products and will take place at a commercial injection moulding  facility.   
Mechanical testing will investigate the tensile stress-strain behaviour, the compression properties and the fracture toughness.  The microstructure-property relationships will be investigated.  Interaction with technical consultants from the Hengdeli Group will be maintained throughout the project.  
",1,0,1,1,0,0
8,26-09-18 7:15,26-09-18 7:15,3,Scrutinizing Multi-Scale Turbulence Models in the Prediction of Thermal Mixing in a T-Junction,"The thermal mixing in the T-junction represents the phenomenon of a class of fatigue problems due to cyclical thermal stresses and thermal stratifications. Experiments, especially for a large system, are usually expensive and time-consuming, whilst the computational fluid dynamics (CFD) simulation provides a feasible alternative. The scale resolved CFD methods, such as DNS, LES or DES, are computationally prohibitive in the most of industrial applications. Therefore, the RANS remains as a favourable choice across the industries.
The suitability of the RANS modelling to an application is determined by the turbulence model, while the performance of the turbulence model is controlled by its constants. What constants should be used in the model for a complex flow system is a common question asked by the users. The advent of high-performance computing (HPC) has made computationally efficient, large-scale, CFD simulations routine in the most of the flow related analysis. The increased use of HPC has now enabled calibration to be performed on the CFD modelling.  In this project, you will carry out a Bayesian Calibration of the constants in a simple turbulence model, for example, the Spalart-Allmaras model or the standard k-Îµ model, in case of modelling the thermal mixing in a T-Junction. You will calibrate the 3-D RANS CFD simulations against a high fidelity LES simulation and provide the uncertainties related to the constants in the model. In this project, you will bridge the state-of-the-art turbulence modelling methods and the data science technology to achieve the accurate RANS simulation. In the meantime, you will establish/extend your knowledge of coding, CFD modelling, and the statistical analysis.
",1,1,0,0,1,0
9,12-10-18 11:39,12-10-18 11:39,3,"Developing a new, ultra compact X-ray generator for high energy density physics experiments
","X-ray driven diagnostics are becoming the primary method of probing high energy density physics experiments, including those for extreme materials research and inertial fusion. However, producing high yield, short pulse doses of suitable X-rays is difficult. Synchrotrons and X-ray lasers offer one route but are large and somewhat expensive to run. Another option – a pulsed power driven X-pinch -  is cheap and can be made to be portable, opening up its use in labs around the world.
 
In an X-pinch 100s of KA of current are fed over 100s of ns through a pair of crossed metallic wires. The magnetic field at the cross over point is very high, leading the wire material here pinching and becoming extremely hot and dense, producing soft X-ray emission. As the pinch continues this region breaks and a micro diode is formed resulting in the production of even harder radiation.  The source size (few – 100microns), duration (ns) and yield (10s to 100s of mJ) are all perfect for techniques including radiography of implosions, X-ray diffraction and absorption spectrometry.
 
In the plasma physics group we have a small pulsed power engineering program to develop compact generators for X-pinch research. Over the last few years we have shrunk the required systems from lab sized to small table top. We are now looking to further improve this design with in built high voltage supplies, triggering and safety rather than having a support ‘cart’ that has to travel with the pinch. We are also looking to make the pinch significantly easier to use and more reliable.
 
Building on our previous work the MSc will involve design of the new generator, modelling of the circuitry, experience in pulsed power switching and testing, and blast/damage mitigation. The aim of the project will be to see the generator in use, radiographing compression experiments on our mega ampere MACH facility, and if time allows a new load – a high density gas puff – will be explored as a replacement for the wires, enabling operation with few second repetition, rather than the 30-60min reload time presently required.",1,1,1,0,0,0
10,27-09-17 15:24,27-09-17 15:24,4,Tribology of caramels: friction measurements in a simulated tongue-palate contact,"Food sensory attributes of creaminess and smoothness are related to friction experienced in the tongue-palate during mastication.   Caramel is a soft confectionary made of butter and sugar which is frequently used as a filling for chocolates.  During mastication the sweet is mechanically degraded in the mouth and the oral friction experienced by the consumer will contribute to the sensory experience of eating.  Currently food manufacturers rely heavily on human panel tests to develop new confectionary formulations which deliver the requisite sensory properties, preferably with reduced sugar and fat content.  However it would be beneficial to be able to replace panel tests with a simple bench test to screen new products for these sensory attributes of creaminess or smoothness.  The aim of the project therefore is to develop a simple bench-test to measure friction during mechanical degradation of soft sweets. 
 
Project tasks:
(a)	Review of existing research literature on tongue-palate tribology
(b)	Development of a ""caramel"" test protocol
(c)	Friction tests on existing lubrication test device for a range of conditions

Project requires good experimental skills.  Tribology course recommended.
",1,0,0,0,0,0
11,20-09-18 14:03,20-09-18 14:03,5,Reliable corrosion detection in petrochemical pipework via trend detection in signals from a health monitoring system,"The Non-Destructive Evaluation group has pioneered ultrasonic guided wave inspection of pipework (www.guided-ultrasonics.com). This enables the inspection of tens of metres of pipe from a single transducer position and so is very attractive when the pipe is insulated or buried. In its original form the system was used for periodic inspection but with reduction in the cost of electronics and wireless communication, there has recently been a move to permanent installation. This opens the possibility of taking frequent readings and improving the detection sensitivity by looking for trends in the data, so making it possible to detect defects that are below the noise floor in a single reading. There are many possible techniques for trend detection and this project will explore different possibilities, testing the algorithms on both synthetic and real data. It will suit a student who is interested in data processing and computation.

Interested students should contact Professor Cawley or Stefano Mariani (s.mariani@imperial.ac.uk) before selecting the project.
",1,1,0,0,1,0
12,24-09-18 15:52,24-09-18 15:52,6,Acoustic levitation rig,"This project will look at building an acoustic levitator and characterising its acoustic field and the force potentials (i.e. lifting capabilities) that it exerts on different particles. It will involve building and testing a levitator, simulating and predicting its performance and discussing how well the predictions and experiments match. To accelerate progress the project will be based on the hardware that is described by the tinylev project (Asier Marzo):

https://www.instructables.com/id/Acoustic-Levitator/    
Please contact Dr. F. Cegla prior to choosing this project.  
",1,1,1,1,0,0
